9150 20 1937  1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0ratio
9151 20 2516  1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
9152 20 2564  1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1
9153 20 2042  1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1
9154 20 2062  1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1
9155 20 2696  1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1
9156 20 2172  1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1
9157 20 2950  1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1
9158 20 2197  0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1
9159 20 2551  1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0
9160 20 2355  1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0
9161 20 2112  1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 0 1
9162 20 2368  1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0
9163 20 2429  1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 0 1
9164 20 1609  1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1
9165 20 228  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
9166 20 2184  1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 0 1 1
9167 20 1811  1 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1
9168 20 2345  1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1
9169 20 2469  0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1
9170 20 2763  1 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1
9171 20 1953  1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1
9172 20 2532  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0
9173 20 2347  1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1
9174 20 2684  1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1
9175 20 1832  1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1
9176 20 2327  1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0
9177 20 2360  1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1
9178 20 2249  1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 0
9179 20 1972  1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0
9180 20 2246  1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1
9181 20 2435  1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1
9182 20 2420  1 0 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1
9183 20 1791  1 0 1 1 1 1 0 1 0 1 0 1 1 1 1 0 1 1 1 0
9184 20 2778  1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1
9185 20 2411  1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1
9186 20 2405  1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1
9187 20 2311  1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 0 1
9188 20 1983  1 1 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1
9189 20 1999  0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0
9190 20 2338  1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0
9191 20 2818  1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1
9192 20 2420  1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1
9193 20 1821  1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 1
9194 20 2721  1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0
9195 20 2421  1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1
9196 20 2452  1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1
9197 20 2417  1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1
9198 20 1992  1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1
9199 20 2070  1 0 1 1 1 1 0 0 0 0 1 1 1 0 1 1 1 1 0 1
