1000 9 215  0 1 1 0 0 1 0 1 0
1001 9 296  0 1 0 0 0 1 1 1 0
1002 9 265  0 0 0 1 1 0 0 1 1
1003 9 294  0 1 1 0 0 0 0 1 1
1004 9 269  1 0 0 1 1 0 1 0 0
1005 9 348  1 1 0 0 0 0 1 1 0
1006 9 307  1 1 0 1 0 0 0 1 0
1007 9 320  0 0 0 1 1 0 1 0 1
1008 9 246  1 0 1 1 0 0 0 1 0
1009 9 288  0 1 0 1 0 0 1 1 0
1010 9 238  0 0 0 1 1 1 0 0 1
1011 9 269  1 1 0 0 0 1 1 0 0
1012 9 224  0 1 1 1 0 0 1 0 0
1013 9 306  1 1 0 1 0 0 0 0 1
1014 9 246  0 1 0 1 0 1 1 1 0
1015 9 281  0 0 1 1 1 0 1 0 0
1016 9 301  0 0 1 1 1 0 1 0 0
1017 9 291  0 0 1 0 0 0 1 1 1
1018 9 316  0 1 0 0 1 1 1 0 0
1019 9 368  0 1 0 0 1 1 0 1 0
1020 9 296  0 1 1 0 0 0 1 1 0
1021 9 348  1 1 0 0 0 1 0 0 1
1022 9 332  0 1 1 0 1 0 1 0 0
1023 9 316  0 1 0 1 1 0 1 0 0
1024 9 356  0 1 1 0 1 0 0 0 1
1025 9 248  0 0 1 1 0 0 1 0 1
1026 9 319  1 0 1 0 1 0 0 0 1
1027 9 370  1 0 0 0 0 0 1 1 1
1028 9 352  0 1 0 1 1 0 1 0 0
1029 9 353  0 0 1 1 0 0 0 1 1
1030 9 329  0 1 0 0 0 1 1 1 0
1031 9 303  1 1 0 0 0 1 0 0 1
1032 9 354  0 0 0 1 1 0 1 1 0
1033 9 249  0 0 0 1 0 1 1 0 1
1034 9 385  0 0 0 1 0 0 1 1 1
1035 9 264  1 0 1 0 1 0 0 0 1
1036 9 345  1 1 0 1 0 0 0 1 0
1037 9 322  0 1 0 0 0 1 0 1 1
1038 9 189  0 0 1 1 1 0 1 0 0
1039 9 260  1 1 0 0 0 1 0 0 1
1040 9 344  1 1 1 1 0 0 0 0 0
1041 9 304  0 0 1 0 0 0 1 1 1
1042 9 331  0 1 0 1 0 1 1 0 0
1043 9 306  1 0 1 1 0 0 0 1 0
1044 9 274  0 0 0 0 0 1 1 1 1
1045 9 275  0 1 1 0 0 1 0 1 0
1046 9 337  1 1 0 1 0 0 0 1 0
1047 9 371  1 0 1 0 1 0 1 0 0
1048 9 332  0 1 0 0 0 0 1 1 1
1049 9 284  0 1 0 1 0 0 0 1 1
